Timestamp - Message
05:40:58 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
05:41:05 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
05:41:14 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
05:43:36 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
05:43:58 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
05:44:23 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
05:45:02 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
06:12:48 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
06:12:55 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
06:14:14 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
06:14:20 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
06:14:40 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
07:28:37 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
07:28:47 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
07:29:04 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
07:29:21 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
07:29:40 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
07:30:54 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
07:31:20 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
07:33:21 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
07:33:56 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
07:34:12 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
08:21:34 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
08:21:56 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
08:22:50 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
08:23:01 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
08:27:17 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
08:28:04 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
08:28:25 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
08:28:39 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
