Timestamp - Message
2023-12-05T05:40:58.110738 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T05:41:05.175056 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T05:41:14.002471 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
2023-12-05T05:43:36.210383 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T05:43:58.579429 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
2023-12-05T05:44:23.879375 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 60}}
2023-12-05T05:45:02.235823 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 70}}
2023-12-05T06:12:48.287624 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T06:12:55.977177 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T06:14:14.272179 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T06:14:20.548337 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
2023-12-05T06:14:40.101390 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 70}}
2023-12-05T07:28:37.260278 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
